  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
1973,8,26891,1973.6219,329.31,330.65,328.51,329.88,329.31,330.65
1973,9,26922,1973.7068,327.52,330.55,326.91,329.96,327.52,330.55
1973,10,26952,1973.789,327.19,330.32,326.89,330.02,327.19,330.32
1973,11,26983,1973.874,328.16,330.13,328.1,330.05,328.16,330.13
1973,12,27013,1973.9562,328.65,329.45,329.29,330.08,328.65,329.45
1974,1,27044,1974.0411,329.36,329.31,330.16,330.1,329.36,329.31
1974,2,27075,1974.126,330.71,330.04,330.81,330.13,330.71,330.04
1974,3,27103,1974.2027,331.49,330.14,331.51,330.15,331.49,330.14
1974,4,27134,1974.2877,332.65,330.23,332.63,330.19,332.65,330.23
1974,5,27164,1974.3699,333.1,330.14,333.19,330.23,333.1,330.14
1974,6,27195,1974.4548,332.26,330.02,332.49,330.27,332.26,330.02
1974,7,27225,1974.537,331.18,330.48,330.99,330.32,331.18,330.48
1974,8,27256,1974.6219,329.4,330.75,328.99,330.37,329.4,330.75
1974,9,27287,1974.7068,327.44,330.49,327.36,330.42,327.44,330.49
1974,10,27317,1974.789,327.38,330.53,327.34,330.48,327.38,330.53
1974,11,27348,1974.874,328.46,330.44,328.58,330.53,328.46,330.44
1974,12,27378,1974.9562,329.58,330.39,329.8,330.59,329.58,330.39
1975,1,27409,1975.0411,330.41,330.36,330.73,330.67,330.41,330.36
1975,2,27440,1975.126,331.41,330.74,331.43,330.75,331.41,330.74
1975,3,27468,1975.2027,332.05,330.7,332.19,330.83,332.05,330.7
1975,4,27499,1975.2877,333.32,330.88,333.37,330.92,333.32,330.88
1975,5,27529,1975.3699,333.98,331.01,333.98,331.02,333.98,331.01
1975,6,27560,1975.4548,333.61,331.37,333.34,331.12,333.61,331.37
1975,7,27590,1975.537,331.91,331.21,331.89,331.21,331.91,331.21
1975,8,27621,1975.6219,330.06,331.42,329.92,331.31,330.06,331.42
1975,9,27652,1975.7068,328.56,331.62,328.33,331.4,328.56,331.62
1975,10,27682,1975.789,328.35,331.51,328.34,331.48,328.35,331.51
1975,11,27713,1975.874,329.5,331.48,329.61,331.57,329.5,331.48
1975,12,27743,1975.9562,330.77,331.58,330.85,331.65,330.77,331.58
1976,1,27774,1976.041,331.76,331.7,331.79,331.73,331.76,331.7
1976,2,27805,1976.1257,332.58,331.9,332.49,331.81,332.58,331.9
1976,3,27834,1976.2049,333.5,332.13,333.28,331.88,333.5,332.13
1976,4,27865,1976.2896,334.59,332.13,334.44,331.96,334.59,332.13
1976,5,27895,1976.3716,334.89,331.91,335.01,332.04,334.89,331.91
1976,6,27926,1976.4563,334.34,332.11,334.33,332.12,334.34,332.11
1976,7,27956,1976.5383,333.06,332.38,332.86,332.21,333.06,332.38
1976,8,27987,1976.623,330.95,332.33,330.89,332.3,330.95,332.33
1976,9,28018,1976.7077,329.31,332.39,329.32,332.41,329.31,332.39
1976,10,28048,1976.7896,328.95,332.11,329.37,332.52,328.95,332.11
1976,11,28079,1976.8743,330.32,332.3,330.68,332.65,330.32,332.3
1976,12,28109,1976.9563,331.69,332.51,331.99,332.79,331.69,332.51
1977,1,28140,1977.0411,332.94,332.88,333.01,332.95,332.94,332.88
1977,2,28171,1977.126,333.43,332.75,333.81,333.12,333.43,332.75
1977,3,28199,1977.2027,334.71,333.35,334.66,333.28,334.71,333.35
1977,4,28230,1977.2877,336.08,333.63,335.93,333.47,336.08,333.63
1977,5,28260,1977.3699,336.76,333.77,336.63,333.65,336.76,333.77
1977,6,28291,1977.4548,336.28,334.02,336.07,333.83,336.28,334.02
1977,7,28321,1977.537,334.93,334.22,334.68,334,334.93,334.22
1977,8,28352,1977.6219,332.76,334.13,332.77,334.17,332.76,334.13
1977,9,28383,1977.7068,331.6,334.68,331.23,334.32,331.6,334.68
1977,10,28413,1977.789,331.17,334.35,331.3,334.47,331.17,334.35
1977,11,28444,1977.874,332.41,334.41,332.64,334.61,332.41,334.41
1977,12,28474,1977.9562,333.86,334.67,333.95,334.75,333.86,334.67
1978,1,28505,1978.0411,334.98,334.93,334.95,334.89,334.98,334.93
1978,2,28536,1978.126,335.4,334.72,335.71,335.02,335.4,334.72
1978,3,28564,1978.2027,336.65,335.29,336.52,335.14,336.65,335.29
1978,4,28595,1978.2877,337.77,335.31,337.74,335.27,337.77,335.31
1978,5,28625,1978.3699,338.02,335.03,338.38,335.39,338.02,335.03
1978,6,28656,1978.4548,337.91,335.64,337.75,335.5,337.91,335.64
1978,7,28686,1978.537,336.55,335.84,336.29,335.61,336.55,335.84
1978,8,28717,1978.6219,334.69,336.06,334.31,335.71,334.69,336.06
1978,9,28748,1978.7068,332.77,335.86,332.71,335.81,332.77,335.86
1978,10,28778,1978.789,332.56,335.74,332.73,335.9,332.56,335.74
1978,11,28809,1978.874,333.93,335.93,334.02,336,333.93,335.93
1978,12,28839,1978.9562,334.96,335.78,335.3,336.1,334.96,335.78
1979,1,28870,1979.0411,336.24,336.18,336.27,336.21,336.24,336.18
1979,2,28901,1979.126,336.77,336.09,337.01,336.32,336.77,336.09
1979,3,28929,1979.2027,337.97,336.6,337.81,336.43,337.97,336.6
1979,4,28960,1979.2877,338.89,336.43,339.04,336.55,338.89,336.43
1979,5,28990,1979.3699,339.48,336.48,339.69,336.68,339.48,336.48
1979,6,29021,1979.4548,339.3,337.02,339.07,336.82,339.3,337.02
1979,7,29051,1979.537,337.74,337.03,337.64,336.95,337.74,337.03
1979,8,29082,1979.6219,336.1,337.47,335.69,337.09,336.1,337.47
1979,9,29113,1979.7068,333.93,337.02,334.13,337.24,333.93,337.02
1979,10,29143,1979.789,333.87,337.07,334.2,337.38,333.87,337.07
1979,11,29174,1979.874,335.3,337.31,335.55,337.54,335.3,337.31
1979,12,29204,1979.9562,336.74,337.56,336.89,337.7,336.74,337.56
1980,1,29235,1980.041,338.03,337.98,337.93,337.86,338.03,337.98
1980,2,29266,1980.1257,338.37,337.69,338.73,338.03,338.37,337.69
1980,3,29295,1980.2049,340.09,338.69,339.6,338.19,340.09,338.69
1980,4,29326,1980.2896,340.78,338.28,340.86,338.35,340.78,338.28
1980,5,29356,1980.3716,341.48,338.47,341.51,338.5,341.48,338.47
1980,6,29387,1980.4563,341.18,338.92,340.89,338.65,341.18,338.92
1980,7,29417,1980.5383,339.57,338.88,339.44,338.78,339.57,338.88
1980,8,29448,1980.623,337.61,339.01,337.48,338.92,337.61,339.01
1980,9,29479,1980.7077,335.9,339.01,335.91,339.04,335.9,339.01
1980,10,29509,1980.7896,336.03,339.23,335.96,339.15,336.03,339.23
1980,11,29540,1980.8743,337.12,339.13,337.27,339.26,337.12,339.13
1980,12,29570,1980.9563,338.23,339.06,338.55,339.36,338.23,339.06
1981,1,29601,1981.0411,339.25,339.2,339.53,339.47,339.25,339.2
1981,2,29632,1981.126,340.5,339.81,340.26,339.57,340.5,339.81
1981,3,29660,1981.2027,341.4,340.02,341.05,339.66,341.4,340.02
1981,4,29691,1981.2877,342.52,340.04,342.25,339.75,342.52,340.04
1981,5,29721,1981.3699,342.93,339.9,342.86,339.83,342.93,339.9
1981,6,29752,1981.4548,342.27,339.98,342.19,339.92,342.27,339.98
1981,7,29782,1981.537,340.5,339.79,340.69,340,340.5,339.79
1981,8,29813,1981.6219,338.45,339.83,338.68,340.09,338.45,339.83
1981,9,29844,1981.7068,336.71,339.83,337.06,340.19,336.71,339.83
1981,10,29874,1981.789,336.88,340.1,337.08,340.29,336.88,340.1
1981,11,29905,1981.874,338.38,340.4,338.4,340.4,338.38,340.4
1981,12,29935,1981.9562,339.63,340.46,339.69,340.5,339.63,340.46
1982,1,29966,1982.0411,340.77,340.72,340.68,340.61,340.77,340.72
1982,2,29997,1982.126,341.63,340.94,341.42,340.72,341.63,340.94
1982,3,30025,1982.2027,342.72,341.34,342.21,340.81,342.72,341.34
1982,4,30056,1982.2877,343.59,341.1,343.41,340.9,343.59,341.1
1982,5,30086,1982.3699,344.16,341.12,344.02,340.98,344.16,341.12
1982,6,30117,1982.4548,343.37,341.07,343.34,341.06,343.37,341.07
1982,7,30147,1982.537,342.07,341.35,341.83,341.14,342.07,341.35
1982,8,30178,1982.6219,339.83,341.21,339.8,341.22,339.83,341.21
1982,9,30209,1982.7068,338,341.12,338.16,341.31,338,341.12
1982,10,30239,1982.789,337.88,341.11,338.18,341.4,337.88,341.11
1982,11,30270,1982.874,339.28,341.31,339.51,341.52,339.28,341.31
1982,12,30300,1982.9562,340.51,341.34,340.83,341.65,340.51,341.34
1983,1,30331,1983.0411,341.4,341.34,341.87,341.8,341.4,341.34
1983,2,30362,1983.126,342.54,341.85,342.67,341.97,342.54,341.85
1983,3,30390,1983.2027,343.12,341.73,343.54,342.14,343.12,341.73
1983,4,30421,1983.2877,344.96,342.46,344.84,342.33,344.96,342.46
1983,5,30451,1983.3699,345.78,342.73,345.56,342.52,345.78,342.73
1983,6,30482,1983.4548,345.34,343.03,345,342.71,345.34,343.03
1983,7,30512,1983.537,344,343.28,343.58,342.89,344,343.28
1983,8,30543,1983.6219,342.4,343.79,341.64,343.06,342.4,343.79
1983,9,30574,1983.7068,339.89,343.02,340.08,343.23,339.89,343.02
1983,10,30604,1983.789,340.01,343.25,340.15,343.38,340.01,343.25
1983,11,30635,1983.874,341.16,343.19,341.52,343.53,341.16,343.19
1983,12,30665,1983.9562,342.99,343.82,342.86,343.68,342.99,343.82
1984,1,30696,1984.041,343.82,343.77,343.88,343.82,343.82,343.77
1984,2,30727,1984.1257,344.62,343.93,344.66,343.96,344.62,343.93
1984,3,30756,1984.2049,345.39,343.97,345.52,344.09,345.39,343.97
1984,4,30787,1984.2896,347.15,344.62,346.76,344.22,347.15,344.62
1984,5,30817,1984.3716,347.52,344.47,347.39,344.34,347.52,344.47
1984,6,30848,1984.4563,346.88,344.59,346.73,344.46,346.88,344.59
1984,7,30878,1984.5383,345.47,344.77,345.24,344.57,345.47,344.77
1984,8,30909,1984.623,343.34,344.76,343.23,344.69,343.34,344.76
1984,9,30940,1984.7077,341.13,344.29,341.63,344.8,341.13,344.29
1984,10,30970,1984.7896,341.4,344.64,341.68,344.92,341.4,344.64
1984,11,31001,1984.8743,343.02,345.06,343.02,345.04,343.02,345.06
1984,12,31031,1984.9563,344.25,345.08,344.34,345.16,344.25,345.08
1985,1,31062,1985.0411,344.99,344.94,345.35,345.28,344.99,344.94
1985,2,31093,1985.126,346.01,345.31,346.11,345.41,346.01,345.31
1985,3,31121,1985.2027,347.43,346.04,346.93,345.52,347.43,346.04
1985,4,31152,1985.2877,348.34,345.83,348.16,345.63,348.34,345.83
1985,5,31182,1985.3699,348.92,345.86,348.8,345.73,348.92,345.86
1985,6,31213,1985.4548,348.24,345.92,348.13,345.83,348.24,345.92
1985,7,31243,1985.537,346.54,345.81,346.61,345.92,346.54,345.81
1985,8,31274,1985.6219,344.64,346.04,344.57,346,344.64,346.04
1985,9,31305,1985.7068,343.06,346.21,342.92,346.09,343.06,346.21
1985,10,31335,1985.789,342.78,346.04,342.92,346.17,342.78,346.04
1985,11,31366,1985.874,344.21,346.26,344.23,346.26,344.21,346.26
1985,12,31396,1985.9562,345.53,346.37,345.53,346.35,345.53,346.37
1986,1,31427,1986.0411,346.28,346.22,346.52,346.45,346.28,346.22
1986,2,31458,1986.126,346.93,346.23,347.27,346.56,346.93,346.23
1986,3,31486,1986.2027,347.83,346.43,348.08,346.67,347.83,346.43
1986,4,31517,1986.2877,349.53,347.01,349.33,346.79,349.53,347.01
1986,5,31547,1986.3699,350.19,347.12,349.99,346.92,350.19,347.12
1986,6,31578,1986.4548,349.53,347.2,349.36,347.05,349.53,347.2
1986,7,31608,1986.537,347.92,347.19,347.87,347.17,347.92,347.19
1986,8,31639,1986.6219,345.88,347.28,345.87,347.3,345.88,347.28
1986,9,31670,1986.7068,344.83,348,344.25,347.43,344.83,348
1986,10,31700,1986.789,344.16,347.43,344.3,347.56,344.16,347.43
1986,11,31731,1986.874,345.64,347.69,345.66,347.69,345.64,347.69
1986,12,31761,1986.9562,346.88,347.72,347,347.82,346.88,347.72
1987,1,31792,1987.0411,348,347.95,348.03,347.96,348,347.95
1987,2,31823,1987.126,348.47,347.77,348.83,348.12,348.47,347.77
1987,3,31851,1987.2027,349.4,348,349.68,348.27,349.4,348
1987,4,31882,1987.2877,350.97,348.44,350.99,348.44,350.97,348.44
1987,5,31912,1987.3699,351.84,348.75,351.7,348.61,351.84,348.75
1987,6,31943,1987.4548,351.25,348.91,351.12,348.8,351.25,348.91
1987,7,31973,1987.537,349.5,348.76,349.69,348.99,349.5,348.76
1987,8,32004,1987.6219,348.09,349.49,347.74,349.18,348.09,349.49
1987,9,32035,1987.7068,346.44,349.61,346.18,349.38,346.44,349.61
1987,10,32065,1987.789,346.1,349.38,346.3,349.57,346.1,349.38
1987,11,32096,1987.874,347.54,349.6,347.73,349.77,347.54,349.6
1987,12,32126,1987.9562,348.69,349.54,349.14,349.97,348.69,349.54
1988,1,32157,1988.041,350.16,350.11,350.24,350.18,350.16,350.11
1988,2,32188,1988.1257,351.47,350.77,351.1,350.39,351.47,350.77
1988,3,32217,1988.2049,351.96,350.52,352.03,350.58,351.96,350.52
1988,4,32248,1988.2896,353.33,350.77,353.36,350.78,353.33,350.77
1988,5,32278,1988.3716,353.97,350.88,354.06,350.97,353.97,350.88
1988,6,32309,1988.4563,353.55,351.23,353.46,351.16,353.55,351.23
1988,7,32339,1988.5383,352.14,351.43,352,351.33,352.14,351.43
1988,8,32370,1988.623,350.19,351.63,350.02,351.5,350.19,351.63
1988,9,32401,1988.7077,348.5,351.69,348.44,351.66,348.5,351.69
